source_word,target_word,source_pos,target_pos,morpheme,type,segments
Mensch,Übermensch,N,N,über,prefix,"('über#', 'Mensch')"
Pol,polen,N,V,en,suffix,"('Pol', '#en')"
Bronchie,bronchial,N,J,al,suffix,"('Bronchie', '#al')"
Italien,italienisch,N,J,isch,suffix,"('Italien', '#isch')"
Frankfurt,Frankfurter,N,N,er,suffix,"('Frankfurt', '#er')"
Durst,durstig,N,J,ig,suffix,"('Durst', '#ig')"
Regel,regelmäßig,N,J,mäßig,suffix,"('Regel', '#mäßig')"
Insekt,Insektizid,N,N,zid,suffix,"('Insekt', '#zid')"
Kram,Krämer,N,N,er,suffix,"('Kram', '#er')"
süß,Süße,J,N,e,suffix,"('süß', '#e')"
Obdach,obdachlos,N,J,los,suffix,"('Obdach', '#los')"
fliehen,entfliehen,V,V,ent,prefix,"('ent#', 'fliehen')"
schneiden,Schneider,V,N,er,suffix,"('schneiden', '#er')"
Zahn,zahnlos,N,J,los,suffix,"('Zahn', '#los')"
hauen,Hauer,V,N,er,suffix,"('hauen', '#er')"
stoßen,zustoßen,V,V,zu,prefix,"('zu#', 'stoßen')"
stoßen,anstoßen,V,V,an,prefix,"('an#', 'stoßen')"
stoßen,verstoßen,V,V,ver,prefix,"('ver#', 'stoßen')"
stoßen,abstoßen,V,V,ab,prefix,"('ab#', 'stoßen')"
geschlechtlich,ungeschlechtlich,J,J,un,prefix,"('un#', 'Geschlecht', '#lich')"
Geschlecht,geschlechtlich,N,J,lich,suffix,"('Geschlecht', '#lich')"
offen,öffentlich,J,J,lich,suffix,"('offen', '#lich')"
stoßen,vorstoßen,V,V,vor,prefix,"('vor#', 'stoßen')"
sauer,Säure,J,N,e,suffix,"('sauer', '#e')"
Urin,urinieren,N,V,ieren,suffix,"('Urin', '#ieren')"
schreiben,abschreiben,V,V,ab,prefix,"('ab#', 'schreiben')"
schreiben,anschreiben,V,V,an,prefix,"('an#', 'schreiben')"
schreiben,verschreiben,V,V,ver,prefix,"('ver#', 'schreiben')"
schreiben,unterschreiben,V,V,unter,prefix,"('unter#', 'schreiben')"
schnullen,Schnuller,V,N,er,suffix,"('schnullen', '#er')"
fahren,Fahrer,V,N,er,suffix,"('fahren', '#er')"
bauen,Bauer,V,N,er,suffix,"('bauen', '#er')"
laufen,umlaufen,V,V,um,prefix,"('um#', 'laufen')"
laufen,zerlaufen,V,V,zer,prefix,"('zer#', 'laufen')"
Bauer,Bäuerchen,N,N,chen,suffix,"('bauen', '#er', '#chen')"
Brot,Brötchen,N,N,chen,suffix,"('Brot', '#chen')"
schließen,schließlich,V,R,lich,suffix,"('schließen', '#lich')"
scheißen,bescheißen,V,V,be,prefix,"('be#', 'scheiße', '#en')"
Blatt,Blättchen,N,N,chen,suffix,"('Blatt', '#chen')"
Bote,Vorbote,N,N,vor,prefix,"('vor#', 'Bote')"
Zone,Zoni,N,N,i,suffix,"('Zone', '#i')"
Häfn,Häferl,N,N,erl,suffix,"('Häfn', '#erl')"
Wanze,verwanzen,N,V,ver,prefix,"('ver#', 'Wanze')"
lassen,ablassen,V,V,ab,prefix,"('ab#', 'lassen')"
handeln,Handlung,V,N,ung,suffix,"('handeln', '#ung')"
handeln,behandeln,V,V,be,prefix,"('be#', 'handeln')"
behandeln,Behandlung,V,N,ung,suffix,"('be#', 'handeln', '#ung')"
ändern,abändern,V,V,ab,prefix,"('ab#', 'ändern')"
danken,abdanken,V,V,ab,prefix,"('ab#', 'danken')"
abdanken,Abdankung,V,N,ung,suffix,"('ab#', 'danken', '#ung')"
Abenteuer,Abenteurer,N,N,er,suffix,"('Abenteuer', '#er')"
fahren,abfahren,V,V,ab,prefix,"('ab#', 'fahren')"
Fahrt,Abfahrt,N,N,ab,prefix,"('ab#', 'Fahrt')"
lassen,loslassen,V,V,los,prefix,"('los#', 'lassen')"
lassen,verlassen,V,V,ver,prefix,"('ver#', 'lassen')"
lassen,einlassen,V,V,ein,prefix,"('ein#', 'lassen')"
lassen,auslassen,V,V,aus,prefix,"('aus#', 'lassen')"
lassen,belassen,V,V,be,prefix,"('be#', 'lassen')"
Finanz,finanziell,N,J,ell,suffix,"('Finanz', '#ell')"
rühren,berühren,V,V,be,prefix,"('be#', 'rühren')"
kommen,bekommen,V,V,be,prefix,"('be#', 'kommen')"
fangen,anfangen,V,V,an,prefix,"('an#', 'fangen')"
machen,aufmachen,V,V,auf,prefix,"('auf#', 'machen')"
wohl,obwohl,R,U,ob,prefix,"('ob#', 'wohl')"
aufklären,Aufklärung,V,N,ung,suffix,"('auf#', 'klären', '#ung')"
Herd,Herde,N,N,e,suffix,"('Herd', '#e')"
fernsehen,Fernseher,V,N,er,suffix,"('fernsehen', '#er')"
fallen,gefallen,J,V,ge,prefix,"('ge#', 'fallen')"
kitzeln,Kitzler,V,N,er,suffix,"('kitzeln', '#er')"
bringen,verbringen,V,V,ver,prefix,"('ver#', 'bringen')"
stellen,bestellen,V,V,be,prefix,"('be#', 'stellen')"
recht,richtig,J,J,ig,suffix,"('recht', '#ig')"
richten,unterrichten,V,V,unter,prefix,"('unter#', 'richten')"
richten,Unterricht,V,N,unter,prefix,"('unter#', 'richten')"
Gericht,Hauptgericht,N,N,haupt,prefix,"('haupt#', 'Gericht')"
lassen,nachlassen,V,V,nach,prefix,"('nach#', 'lassen')"
kürzen,abkürzen,V,V,ab,prefix,"('ab#', 'kurz', '#en')"
kurz,Kürzel,J,N,el,suffix,"('kurz', '#el')"
führen,entführen,V,V,ent,prefix,"('ent#', 'führen')"
entführen,Entführung,V,N,ung,suffix,"('ent#', 'führen', '#ung')"
entführen,Entführer,V,N,er,suffix,"('ent#', 'führen', '#er')"
Erfolg,erfolglos,N,J,los,suffix,"('Erfolg', '#los')"
durchschnittlich,überdurchschnittlich,J,J,über,prefix,"('über#', 'durch#', 'Schnitt', '#lich')"
zählen,erzählen,V,V,er,prefix,"('er#', 'zählen')"
Heim,Heimchen,N,N,chen,suffix,"('Heim', '#chen')"
Fall,Abfall,N,N,ab,prefix,"('ab#', 'Fall')"
Bild,bildlich,N,J,lich,suffix,"('Bild', '#lich')"
Figur,figürlich,N,J,lich,suffix,"('Figur', '#lich')"
Symbol,symbolisch,N,J,isch,suffix,"('Symbol', '#isch')"
tragen,übertragen,V,V,über,prefix,"('über#', 'tragen')"
Sinnbild,sinnbildlich,N,J,lich,suffix,"('Sinnbild', '#lich')"
Schmetten,Schmetterling,N,N,ling,suffix,"('Schmetten', '#ling')"
Strafrecht,Strafrechtler,N,N,ler,suffix,"('Strafrecht', '#ler')"
Strafrechtler,Strafrechtlerin,N,N,in,suffix,"('Strafrecht', '#ler', '#in')"
Schmetterling,Schmetterlingsblütler,N,N,blütler,suffix,"('Schmetten', '#ling', '#blütler')"
Hülsenfrucht,Hülsenfrüchtler,N,N,ler,suffix,"('Hülsenfrucht', '#ler')"
Kunst,künstlich,N,J,lich,suffix,"('Kunst', '#lich')"
Kunst,Künstler,N,N,ler,suffix,"('Kunst', '#ler')"
decken,abdecken,V,V,ab,prefix,"('ab#', 'Dach', '#en')"
Parasit,Parasitologie,N,N,logie,suffix,"('Parasit', '#logie')"
Reif,reifen,N,V,en,suffix,"('Reif', '#en')"
halten,verhalten,V,J,ver,prefix,"('ver#', 'halten')"
Europa,europäisch,N,J,isch,suffix,"('Europa', '#isch')"
meiden,vermeiden,V,V,ver,prefix,"('ver#', 'meiden')"
rot,infrarot,N,J,infra,prefix,"('infra#', 'rot')"
Marx,Marxismus,N,N,ismus,suffix,"('Marx', '#ismus')"
sagen,entsagen,N,V,ent,prefix,"('ent#', 'sagen')"
gern,ungern,R,R,un,prefix,"('un#', 'gern')"
Gummibär,Gummibärchen,N,N,chen,suffix,"('Gummibär', '#chen')"
Mann,männlich,N,J,lich,suffix,"('Mann', '#lich')"
vermitteln,Vermittlung,V,N,ung,suffix,"('ver#', 'mitteln', '#ung')"
Sucht,süchtig,N,J,ig,suffix,"('Sucht', '#ig')"
mager,abmagern,J,V,ab,prefix,"('ab#', 'mager')"
Taste,Tastatur,N,N,tur,suffix,"('Taste', '#tur')"
geschwind,Geschwindigkeit,J,N,igkeit,suffix,"('geschwind', '#igkeit')"
hoch,Höhe,N,N,e,suffix,"('hoch', '#e')"
schwach,Schwäche,J,N,e,suffix,"('schwach', '#e')"
schwach,schwächlich,J,J,lich,suffix,"('schwach', '#lich')"
Demokrat,demokratisch,N,J,isch,suffix,"('Demokrat', '#isch')"
Christ,christlich,N,J,lich,suffix,"('Christ', '#lich')"
lateral,bilateral,J,J,bi,prefix,"('bi#', 'lateral')"
lutschen,Lutscher,V,N,er,suffix,"('lutschen', '#er')"
Speise,Vorspeise,N,N,vor,prefix,"('vor#', 'Speise')"
Kanzler,Kanzlerin,N,N,in,suffix,"('Kanzler', '#in')"
Bundeskanzler,Bundeskanzlerin,N,N,in,suffix,"('Bundeskanzler', '#in')"
Teekessel,Teekesselchen,N,N,chen,suffix,"('Teekessel', '#chen')"
drucken,Drucker,V,N,er,suffix,"('drucken', '#er')"
schleudern,verschleudern,V,V,ver,prefix,"('ver#', 'schleudern')"
tauchen,Taucher,V,N,er,suffix,"('tauchen', '#er')"
Punkt,pünktlich,N,J,lich,suffix,"('Punkt', '#lich')"
verwüsten,Verwüstung,V,N,ung,suffix,"('verwüsten', '#ung')"
wühlen,aufwühlen,V,V,auf,prefix,"('auf#', 'wühlen')"
Stachel,stachelig,N,J,ig,suffix,"('Stachel', '#ig')"
rauchen,Raucher,V,N,er,suffix,"('rauchen', '#er')"
Raucher,Nichtraucher,N,N,nicht,prefix,"('nicht#', 'rauchen', '#er')"
räuchern,ausräuchern,V,V,aus,prefix,"('aus#', 'räuchern')"
Stab,Stäbchen,N,N,chen,suffix,"('Stab', '#chen')"
frech,Frechheit,J,N,heit,suffix,"('frech', '#heit')"
Nord,nördlich,N,J,lich,suffix,"('Nord', '#lich')"
Süd,südlich,N,J,lich,suffix,"('Süd', '#lich')"
halb,halbieren,J,V,ieren,suffix,"('halb', '#ieren')"
Amerika,amerikanisch,N,J,anisch,suffix,"('Amerika', '#anisch')"
halb,Hälfte,R,N,te,suffix,"('halb', '#te')"
Gelatine,gelatinös,N,J,ös,suffix,"('Gelatine', '#ös')"
Gallert,gallertartig,N,J,artig,suffix,"('Gallert', '#artig')"
vier,vierzig,N,N,zig,suffix,"('vier', '#zig')"
Hanf,Hänfling,N,N,ling,suffix,"('Hanf', '#ling')"
wandern,Wanderung,V,N,ung,suffix,"('wandern', '#ung')"
Eichhorn,Eichhörnchen,N,N,chen,suffix,"('Eichhorn', '#chen')"
Horn,Hörnchen,N,N,chen,suffix,"('Horn', '#chen')"
tragen,Träger,V,N,er,suffix,"('tragen', '#er')"
Hirn,Gehirn,N,N,ge,prefix,"('ge#', 'Hirn')"
Hang,Anhang,N,N,an,prefix,"('an#', 'Hang')"
geringschätzen,Geringschätzung,V,N,ung,suffix,"('geringschätzen', '#ung')"
strahlen,bestrahlen,V,V,be,prefix,"('be#', 'strahlen')"
strahlen,Strahlung,V,N,ung,suffix,"('strahlen', '#ung')"
strahlen,verstrahlen,V,V,ver,prefix,"('ver#', 'strahlen')"
würgen,Würger,V,N,er,suffix,"('würgen', '#er')"
töten,abtöten,V,V,ab,prefix,"('ab#', 'töten')"
Feind,Erzfeind,N,N,erz,prefix,"('erz#', 'Feind')"
Bischof,Erzbischof,N,N,erz,prefix,"('erz#', 'Bischof')"
drosseln,erdrosseln,V,V,er,prefix,"('er#', 'drosseln')"
würgen,erwürgen,V,V,er,prefix,"('er#', 'würgen')"
Bücher,Bücherei,N,N,ei,suffix,"('Bücher', '#ei')"
parallel,antiparallel,J,J,anti,prefix,"('anti#', 'parallel')"
viral,antiviral,J,J,anti,prefix,"('anti#', 'viral')"
stürmen,Stürmer,V,N,er,suffix,"('Sturm', '#en', '#er')"
roh,Rohling,J,N,ling,suffix,"('roh', '#ling')"
Topf,Töpfer,N,N,er,suffix,"('Topf', '#er')"
offenbaren,Offenbarung,V,N,ung,suffix,"('offen', '#bar', '#en', '#ung')"
ein,einmal,R,R,mal,suffix,"('ein', '#mal')"
brechen,verbrechen,N,V,ver,prefix,"('ver#', 'brechen')"
anschauen,Anschauung,V,N,ung,suffix,"('an#', 'schauen', '#ung')"
Glied,Mitglied,N,N,mit,prefix,"('mit#', 'Glied')"
leer,Leere,V,N,e,suffix,"('leer', '#e')"
Teil,Nachteil,N,N,nach,prefix,"('nach#', 'Teil')"
Pelz,pelzig,N,J,ig,suffix,"('Pelz', '#ig')"
Buche,buchen,N,J,en,suffix,"('Buche', '#en')"
Buch,buchen,N,V,en,suffix,"('Buche', '#en')"
Zuckerbäcker,Zuckerbäckerin,N,N,in,suffix,"('Zuckerbäcker', '#in')"
autotroph,chemoautotroph,J,J,chemo,prefix,"('chemo#', 'autotroph')"
Gote,gotisch,N,J,isch,suffix,"('Gote', '#isch')"
bessern,verbessern,V,V,ver,prefix,"('ver#', 'bessern')"
Herzog,Herzogin,N,N,in,suffix,"('Herzog', '#in')"
Baum,Bäume,N,N,e,suffix,"('Baum', '#e')"
Bruder,Gebrüder,N,N,ge,prefix,"('ge#', 'Bruder')"
solar,extrasolar,J,J,extra,prefix,"('extra#', 'solar')"
erstaunen,erstaunlich,V,J,lich,suffix,"('er#', 'staunen', '#lich')"
abändern,Abänderung,V,N,ung,suffix,"('ab#', 'ändern', '#ung')"
biegen,abbiegen,V,V,ab,prefix,"('ab#', 'biegen')"
Bild,Abbild,N,N,ab,prefix,"('ab#', 'Bild')"
bilden,abbilden,N,V,ab,prefix,"('ab#', 'bilden')"
abbilden,Abbildung,V,N,ung,suffix,"('ab#', 'bilden', '#ung')"
binden,abbinden,V,V,ab,prefix,"('ab#', 'binden')"
blättern,abblättern,V,V,ab,prefix,"('ab#', 'blättern')"
blenden,abblenden,V,V,ab,prefix,"('ab#', 'blenden')"
Gas,Abgas,N,N,ab,prefix,"('ab#', 'Gas')"
fräsen,abfräsen,V,V,ab,prefix,"('ab#', 'fräsen')"
Fluss,Abfluss,N,N,ab,prefix,"('ab#', 'Fluss')"
Flug,Abflug,N,N,ab,prefix,"('ab#', 'Flug')"
fließen,abfließen,V,V,ab,prefix,"('ab#', 'fließen')"
fliegen,abfliegen,V,V,ab,prefix,"('ab#', 'fliegen')"
gelegen,Gelegenheit,J,N,heit,suffix,"('gelegen', '#heit')"
arbeiten,Arbeiter,V,N,er,suffix,"('arbeiten', '#er')"
bekannt,unbekannt,J,J,un,prefix,"('un#', 'bekannt')"
Zink,zinken,N,J,en,suffix,"('Zink', '#en')"
dienen,verdienen,V,V,ver,prefix,"('ver#', 'dienen')"
Wolle,wollen,N,J,en,suffix,"('Wolle', '#en')"
Hure,huren,N,V,en,suffix,"('Hure', '#en')"
gemütlich,Gemütlichkeit,J,N,keit,suffix,"('ge#', 'Mut', '#lich', '#keit')"
Geselle,Gesellschaft,N,N,schaft,suffix,"('Geselle', '#schaft')"
wecken,Wecker,V,N,er,suffix,"('wecken', '#er')"
frei,Freiheit,J,N,heit,suffix,"('frei', '#heit')"
Sang,Sänger,N,N,er,suffix,"('Sang', '#er')"
Glück,glücklich,N,J,lich,suffix,"('Glück', '#lich')"
Acht,achten,N,V,en,suffix,"('Acht', '#en')"
achte,achten,V,N,en,suffix,"('Acht', '#en')"
ziehen,durchziehen,V,V,durch,prefix,"('durch#', 'ziehen')"
leihen,verleihen,V,V,ver,prefix,"('ver#', 'leihen')"
Ehre,ehrlich,N,J,lich,suffix,"('Ehre', '#lich')"
überraschen,Überraschung,V,N,ung,suffix,"('über#', 'raschen', '#ung')"
fügen,hinzufügen,V,V,hinzu,prefix,"('hinzu#', 'fügen')"
Diamant,diamanten,N,J,en,suffix,"('Diamant', '#en')"
Sprache,Ursprache,N,N,ur,prefix,"('ur#', 'Sprache')"
meten,gemet,N,N,ge,prefix,"('ge#', 'meten')"
Zipf,Zipfel,N,N,el,suffix,"('Zipf', '#el')"
nießen,genießen,V,V,ge,prefix,"('ge#', 'nießen')"
brauchen,gebrauchen,V,V,ge,prefix,"('ge#', 'brauchen')"
